Sample ID	Input Reads	Uniquely Mapped Reads
MO_1025-capt-SI_4862-C0EMJACXX	104349123	74805118
MO_1403-capt-SI_8973-C472MANXX	58594643	41987582
MO_1475-capt-SI_10740-C6UUJANXX	62431161	40912120
PO_3061-capt-SI_7784-C3L7FACXX	59503202	46869621
PO_3013-capt-SI_5607-D133TACXX	61957831	51174068
MO_1028-capt-SI_4865-C0EMJACXX	103207789	75868515
MO_1028-capt-SI_4933-C0KFGACXX	71729868	53991640
MO_1042-capt-SI_5041-C0LARACXX	85845575	68200941
MO_1053-capt-SI_5086-D0VDLACXX	92914636	70794381
MO_1256-capt-SI_7402-D2GA6ACXX	66908687	53500456
MO_1322-capt-SI_8081-C4CUUACXX	69325277	57436174
MO_1377-capt-SI_8656-C59PDACXX	67241167	40934179
MO_1434-capt-SI_9689-C5N0MANXX	71008757	62773443
MO_1442-capt-SI_9806-C5N31ANXX	62112746	44788151
PO_3012-capt-SI_5608-D133TACXX	66965797	54364878
PO_3012-capt-SI_5907-D1DPVACXX	75254119	70164605
PO_3016-capt-SI_10985-C6UWKANXX	61791776	39632510
PO_3016-capt-SI_5908-D1DW2ACXX	68815331	60130765
PO_3019-capt-SI_6078-D1EBTACXX	70793549	59204902
PO_3019-capt-SI_6079-D1EBTACXX	61609089	46929471
PO_3023-capt-SI_6080-D1EBTACXX	74426262	71113681
PO_3026-capt-SI_6352-C1MY8ACXX	68065060	52436426
PO_3026-capt-SI_6792-D27L3ACXX	74448613	68990019
PO_3027-capt-SI_6353-D1R6AACXX	60229110	50265542
PO_3028-capt-SI_6291-D1RTCACXX	45596106	35734508
PO_3031-capt-SI_6298-D1RTCACXX	56912810	43852976
PO_3088-capt-SI_8890-C4739ANXX	64596599	54316883
MO_1116-capt-SI_6073-D1EBFACXX	66268348	48934121
MO_1033-capt-SI_4935-C0KFGACXX	97261191	75616061
MO_1449-capt-SI_9810-C5N31ANXX	67747945	59204369
MO_1024-capt-SI_4825-D0L3RACXX	96672782	64521768
MO_1024-capt-SI_4974-C0L92ACXX	118087587	91870309
MO_1022-capt-SI_4823-D0L3RACXX	90939341	61888239
MO_1036-capt-SI_4968-C0LARACXX	99528975	68207057
MO_1039-capt-SI_4970-C0L92ACXX	98201462	77963671
MO_1312-capt-SI_7952-C4CW0ACXX	63731471	54996608
MO_1338-capt-SI_8319-C46WVANXX	50856182	40719652
MO_1341-capt-SI_8321-C46WVANXX	48320993	38103876
MO_1347-capt-SI_8388-C46LAANXX	57699120	47335996
MO_1388-capt-SI_8842-C4730ANXX	66755212	51534091
TP_2016-capt-SI_5943-D1E2BACXX	69481306	56761521
MO_1016-capt-SI_4734-D0H01ACXX	58697128	39930653
MO_1049-capt-SI_5084-D0VDLACXX	99537629	74010122
MO_1091-capt-SI_5836-C19FGACXX	67631968	55329161
MO_1097-capt-SI_5686-C19D0ACXX	74576951	56571793
MO_1099-capt-SI_5832-C19FGACXX	63154458	52322196
MO_1135-capt-SI_6230-D1RRKACXX	63508081	44919142
MO_1153-capt-SI_6472-C1M1KACXX	65432669	50835399
MO_1166-capt-SI_6571-D1RV8ACXX	73916404	52883472
MO_1198-capt-SI_6907-H77T7ADXX	41307702	35005059
MO_1290-capt-SI_7735-C32VAACXX	60591879	50720406
MO_1361-capt-SI_8554-C59M2ACXX	69535887	55288369
TP_2058-capt-SI_8324-C46WVANXX	54021575	43957795
TP_2131-capt-SI_11906-C7F4VANXX	55910037	39784635
PO_3008-capt-SI_5434-C0VYRACXX	106919316	90114109
PO_3022-capt-SI_6031-D1E7VACXX	81416497	74158982
PO_3030-capt-SI_6225-D1RRKACXX	78923409	61658434
PO_3036-capt-SI_6584-D1PYGACXX	65751724	51846894
PO_3038-capt-SI_6643-H0V80ADXX	46363961	33626060
PO_3040-capt-SI_6649-D21U5ACXX	71665534	57577625
PO_3040-capt-SI_6650-D21U5ACXX	74974864	61925525
PO_3041-capt-SI_6651-D21U5ACXX	65339598	54256000
PO_3049-capt-SI_7038-C25UAACXX	44644168	34664346
PO_3049-capt-SI_7038-C267GACXX	21561869	16943570
PO_3064-capt-SI_7778-H95W2ADXX	63355874	51556582
PO_3064-capt-SI_7779-H95W2ADXX	57464288	46908647
PO_3064-capt-SI_8392-H9TBMADXX	104744175	72002923
PO_3076-capt-SI_7914-C4CADACXX	58029106	46162027
PO_3076-capt-SI_9478-C5N19ANXX	66322447	49331654
PO_3092-capt-SI_8639-C5A72ACXX	71835577	56886690
PO_3096-capt-SI_8951-C46BDANXX	74319310	56465621
PO_3098-capt-SI_9054-HAKJFADXX	55186340	42463316
PO_3099-capt-SI_9055-HAE7YADXX	51482721	38965287
PO_3100-capt-SI_9281-C5MMMANXX	75165731	54196446
PO_3101-capt-SI_10155-C6EHCANXX	65617794	59220898
PO_3103-capt-SI_9230-C4R00ANXX	62066956	53153733
Human_Normal_Tissues-capt-SI_13292-C90DVANXX	61510144	43340355
Human_Normal_Tissues-capt-SI_13293-C90DVANXX	41505639	28986298
Human_Normal_Tissues-capt-SI_13294-C90DVANXX	49291541	36089676
PO_3004-capt-SI_5321-D12MJACXX	99070197	87118998
PO_3035-capt-SI_6564-D1PYGACXX	63296454	52205199
PO_3047-capt-SI_6972-C24VEACXX	56688017	44705515
PO_3059-capt-SI_7688-C33JEACXX	59936736	46195543
PO_3003-capt-SI_11223-C6UTYANXX	79960462	61379476
PO_3003-capt-SI_5221-C0VTYACXX	111391352	86779638
PO_3003-capt-SI_7546-H84P5ADXX	65650411	51809418
PO_3009-capt-SI_5506-D130HACXX	71316076	61679201
PO_3014-capt-SI_5842-C19GBACXX	70260725	51524159
PO_3014-capt-SI_8210-C4K88ACXX	52604330	42614771
PO_3018-capt-SI_5910-D1DW2ACXX	69783351	52557132
PO_3018-capt-SI_6029-D1E7VACXX	65650697	55934791
PO_3048-capt-SI_6973-C24VEACXX	67537422	58121975
PO_3050-capt-SI_7128-C25UAACXX	50533155	41322256
PO_3054-capt-SI_7360-C2G13ACXX	74132872	59933522
PO_3055-capt-SI_7407-C2GDFACXX	75550451	60455879
PO_3065-capt-SI_7780-C3L7FACXX	50291602	43248118
PO_3065-capt-SI_8976-C472MANXX	63831449	48914732
PO_3074-capt-SI_7876-C4CF9ACXX	62583360	54174916
Human_Normal_Tissues-capt-SI_13202-C8LJ8ANXX	56887751	30031533
Human_Normal_Tissues-capt-SI_13214-C8LJ8ANXX	41506637	24471498
MO_1465-capt-SI_10326-C6EHAANXX	66214074	41314017
PO_3002-capt-SI_5220-C0W1LACXX	98999349	73270444
PO_3057-capt-SI_7632-C2G40ACXX	70185409	47079080
PO_3057-capt-SI_7738-C32VAACXX	56078801	52081036
PO_3057-capt-SI_8131-C4J3TACXX	62275787	52419381
PO_3063-capt-SI_7783-C3L7FACXX	52086785	48715910
PO_3067-capt-SI_7877-C4CRLACXX	72893010	66844227
PO_3068-capt-SI_8401-C4L1DACXX	64583666	60659382
PO_3069-capt-SI_7849-C3Y81ACXX	60628095	54481659
PO_3077-capt-SI_8199-C4K88ACXX	64502278	56632761
PO_3078-capt-SI_8234-C4K88ACXX	61902687	57697810
PO_3089-capt-SI_12030-H535MADXX	51299854	31766596
PO_3089-capt-SI_8608-C5A72ACXX	60918124	48194392
TP_2056-capt-SI_8194-C4K88ACXX	61444179	52204877
TP_2065-capt-SI_8950-C46BDANXX	65177350	53511533
TP_2091-capt-SI_10667-C6UPRANXX	69232215	58662621
TP_2120-capt-SI_11542-HV7FKADXX	91423874	70116754
TP_2123-capt-SI_11731-C7G60ANXX	66038352	50260217
ES_5001-capt-SI_5013-C0LAMACXX	108678555	90603954
ES_5001-capt-SI_6226-D1RRKACXX	65011960	60293082
MO_1030-capt-SI_5380-D12U3ACXX	118303657	108804953
MO_1031-capt-SI_5275-C0VU9ACXX	95094288	77742688
MO_1032-capt-SI_4934-C0KFGACXX	101844372	75868889
MO_1051-capt-SI_5093-D0VCEACXX	64494180	51050241
MO_1051-capt-SI_5437-C0VURACXX	75299005	68561177
MO_1051-capt-SI_6687-H15U7ADXX	47577927	44426412
MO_1065-capt-SI_5217-C0VTMACXX	102344255	72777391
MO_1068-capt-SI_5219-C0VTYACXX	97070828	76193590
MO_1069-capt-SI_5276-C0VU9ACXX	98420734	77853463
MO_1069-capt-SI_5906-D1DPVACXX	65395115	55816577
MO_1090-capt-SI_5612-D18NCACXX	65756082	54154020
MO_1107-capt-SI_5841-C19M0ACXX	68335780	55070171
MO_1126-capt-SI_6287-D1RTCACXX	45915587	35972952
MO_1129-capt-SI_6222-D1RWDACXX	70848490	47072105
MO_1129-capt-SI_6585-H0V81ADXX	63788007	58603505
MO_1129-capt-SI_6686-H15U7ADXX	46175045	40344330
MO_1159-capt-SI_6477-C1M1KACXX	68475707	54059419
MO_1167-capt-SI_6652-H0V81ADXX	60134261	50819722
MO_1178-capt-SI_6700-D2GC3ACXX	24436223	19190112
MO_1178-capt-SI_6700-H0UUFADXX	44385718	34683683
MO_1185-capt-SI_6794-H77P5ADXX	47142667	37881553
MO_1185-capt-SI_6795-H77P5ADXX	43684023	35494372
MO_1188-capt-SI_6798-C33JEACXX	36996680	29579244
MO_1188-capt-SI_6798-H77PAADXX	40942758	29517609
MO_1188-capt-SI_6975-C26D0ACXX	73676026	67447473
